Configuration,Search Method,Solution State,Solution Depth,Nodes Expanded,Max Fringe Size,Branching Factor
"[1, 2, 3, 4, 5, 0, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             4,            72,              78,           2.913
"[1, 2, 3, 4, 5, 0, 6, 7, 9, 10, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             4,            72,             114,           2.913
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",depthFirstSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",breadthFirstSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 0]",uniformCostSearch,Solved ,             0,             1,               0,           ERROR
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            24,         40935,              35,           1.557
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             2,            10,              15,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             2,            10,              20,           3.162
"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,             4,        629164,              39,          28.164
"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             4,            52,              58,           2.685
"[1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 10, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             4,            52,              84,           2.685
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",depthFirstSearch,Solved ,             2,             3,               5,           1.732
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             2,            15,              20,           3.873
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",uniformCostSearch,Solved ,             2,            15,              29,           3.873
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            24,         40935,              35,           1.557
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             2,            10,              15,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             2,            10,              20,           3.162
"[1, 2, 3, 4, 5, 6, 11, 7, 9, 10, 0, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,             1,        802536,              38,               0
"[1, 2, 3, 4, 5, 6, 11, 7, 9, 10, 0, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             4,            47,              48,           2.618
"[1, 2, 3, 4, 5, 6, 11, 7, 9, 10, 0, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             4,            47,              72,           2.618
"[0, 1, 3, 4, 5, 2, 6, 7, 9, 10, 15, 8, 13, 14, 12, 11]",depthFirstSearch,Solved ,            12,        215781,              36,           2.783
"[0, 1, 3, 4, 5, 2, 6, 7, 9, 10, 15, 8, 13, 14, 12, 11]",breadthFirstSearch,Solved ,            10,          3346,            3610,           2.251
"[0, 1, 3, 4, 5, 2, 6, 7, 9, 10, 15, 8, 13, 14, 12, 11]",uniformCostSearch,Solved ,            10,          3346,            5408,           2.251
"[1, 6, 2, 3, 5, 0, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            18,        724162,              39,           2.116
"[1, 6, 2, 3, 5, 0, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             8,           827,             919,           2.316
"[1, 6, 2, 3, 5, 0, 8, 4, 9, 10, 7, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             8,           827,            1366,           2.316
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",depthFirstSearch,Solved ,             2,        622981,              36,               0
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",breadthFirstSearch,Solved ,             4,            54,              63,           2.711
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12]",uniformCostSearch,Solved ,             4,            54,              93,           2.711
"[0, 2, 3, 4, 1, 6, 11, 7, 5, 9, 10, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,            22,        367779,              36,           1.791
"[0, 2, 3, 4, 1, 6, 11, 7, 5, 9, 10, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             8,           491,             535,            2.17
"[0, 2, 3, 4, 1, 6, 11, 7, 5, 9, 10, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             8,           491,             787,            2.17
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",depthFirstSearch,Solved ,            20,         64298,              34,           1.739
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",breadthFirstSearch,Solved ,             4,            37,              48,           2.466
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 14, 12, 0]",uniformCostSearch,Solved ,             4,            37,              69,           2.466
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 11, 12, 9, 0, 14, 15]",depthFirstSearch,Solved ,             6,        464312,              36,             8.8
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 11, 12, 9, 0, 14, 15]",breadthFirstSearch,Solved ,             6,           162,             184,           2.335
"[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 11, 12, 9, 0, 14, 15]",uniformCostSearch,Solved ,             6,           162,             271,           2.335
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 12, 8, 13, 14, 11, 15]",depthFirstSearch,Solved ,             2,       1037863,              37,               0
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 12, 8, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             6,           237,             266,           2.488
"[1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 12, 8, 13, 14, 11, 15]",uniformCostSearch,Solved ,             6,           237,             390,           2.488
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,            20,        202410,              38,           1.842
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             2,             6,               7,           2.449
"[1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             2,             6,               9,           2.449
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",depthFirstSearch,Solved ,            24,         84575,              38,           1.604
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",breadthFirstSearch,Solved ,             4,            39,              51,           2.499
"[1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15]",uniformCostSearch,Solved ,             4,            39,              73,           2.499
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",depthFirstSearch,Solved ,            24,         40935,              35,           1.557
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",breadthFirstSearch,Solved ,             2,            10,              15,           3.162
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15]",uniformCostSearch,Solved ,             2,            10,              20,           3.162
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 11, 7, 12, 13, 10, 14, 15]",depthFirstSearch,Solved ,            24,        216542,              37,           1.668
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 11, 7, 12, 13, 10, 14, 15]",breadthFirstSearch,Solved ,             8,           946,            1052,           2.355
"[1, 3, 0, 4, 5, 2, 6, 8, 9, 11, 7, 12, 13, 10, 14, 15]",uniformCostSearch,Solved ,             8,           946,            1562,           2.355
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",depthFirstSearch,Solved ,             2,             3,               5,           1.732
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             2,            15,              20,           3.873
"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 11, 13, 14, 15, 12]",uniformCostSearch,Solved ,             2,            15,              29,           3.873
"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 11, 12, 13, 10, 14, 15]",depthFirstSearch,Solved ,             5,        744261,              38,               0
"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 11, 12, 13, 10, 14, 15]",breadthFirstSearch,Solved ,             6,           240,             265,           2.493
"[1, 2, 3, 4, 5, 7, 8, 0, 9, 6, 11, 12, 13, 10, 14, 15]",uniformCostSearch,Solved ,             6,           240,             392,           2.493
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",depthFirstSearch,Solved ,             4,        758793,              37,          29.514
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",breadthFirstSearch,Solved ,             4,            40,              45,           2.515
"[1, 2, 0, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12]",uniformCostSearch,Solved ,             4,            40,              66,           2.515
